,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
208,"In 1 week during my last year of grad school, I:
- reported a professor to #TitleIX after I got PTSD from his haras… https://t.co/KCXJvfhjEb",FALSE,13,NA,4/25/2019 19:17,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",emily_spacecats,0,FALSE,FALSE,NA,NA
209,"""Vindictive Lobbyist Writes Title IX Laws That Could Exonerate His Son"" -- many thanks to @molly__o at @Jezebel for… https://t.co/vlyx7wZvR0",FALSE,2,NA,4/25/2019 18:50,TRUE,NA,1.12E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",lonesometoast,0,FALSE,FALSE,NA,NA
210,"RT @JaneDueker: While you are being sanctimonious, please explain why @WUSTL provides all the due process in the world to their pedophile “…",FALSE,0,NA,4/25/2019 18:39,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RGreggKeller,1,TRUE,FALSE,NA,NA
211,RT @edmlmd: RT @champ4autism: Lobbyist’s crusade to change Title IX in #Missouri stems from his son’s expulsion https://t.co/3wGn9Tjdaa #Ti…,FALSE,0,NA,4/25/2019 18:25,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",champ4autism,1,TRUE,FALSE,NA,NA
212,"RT @CollegeFix: Judge approves anti-male bias lawsuit against @UArts, defamation claim against accuser https://t.co/sOzcOF2QX6 
#titleix #h…",FALSE,0,NA,4/25/2019 18:00,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DebbieD74780022,3,TRUE,FALSE,NA,NA
213,RT @KathyReports: #5Investgates: Young victims of sexual assault say they felt like they were being punished &amp; victimized again by their sc…,FALSE,0,NA,4/25/2019 17:48,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DorkablyKanga15,2,TRUE,FALSE,NA,NA
214,This offender plead guilty. @WUSTL could muster the effort to write letters on behalf of the kiddie porn Dean of St… https://t.co/LW82r1N9ia,FALSE,4,NA,4/25/2019 17:43,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JaneDueker,0,FALSE,FALSE,NA,NA
215,"Study finds link between partying and sexual aggression in college-age men:
https://t.co/Sia9KdFrK2

#TitleIX #TitleIXnews via @Newsweek",FALSE,0,NA,4/25/2019 17:42,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",T9Mastered,0,FALSE,FALSE,NA,NA
216,"Michigan again looks to require consent education to combat sexual assault:
https://t.co/oXWlOlRWr0

#TitleIX #TitleIXnews via @revuewm",FALSE,0,NA,4/25/2019 17:42,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",T9Mastered,0,FALSE,FALSE,NA,NA
217,"While you are being sanctimonious, please explain why @WUSTL provides all the due process in the world to their ped… https://t.co/Nv3bUCfh86",FALSE,1,NA,4/25/2019 17:34,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JaneDueker,1,FALSE,FALSE,NA,NA
